SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points
2009,1610612759,San Antonio Spurs,Backcourt,9,0,0,0
2020,1610612738,Boston Celtics,Right Corner 3,215,73,73,219
2011,1610612747,Los Angeles Lakers,Mid-Range,1987,778,0,1556
2025,1610612740,New Orleans Pelicans,Right Corner 3,386,137,137,411
2021,1610612755,Philadelphia 76ers,Above the Break 3,1564,564,563,1691
2025,1610612766,Charlotte Hornets,Left Corner 3,419,152,152,456
2020,1610612748,Miami Heat,Mid-Range,817,300,0,600
2023,1610612760,Oklahoma City Thunder,Right Corner 3,234,96,96,288
2021,1610612748,Miami Heat,Backcourt,14,0,0,0
2008,1610612743,Denver Nuggets,Restricted Area,2600,1609,0,3218
2004,1610612742,Dallas Mavericks,In The Paint (Non-RA),1265,526,0,1052
2015,1610612747,Los Angeles Lakers,Mid-Range,2392,881,0,1762
2022,1610612752,New York Knicks,In The Paint (Non-RA),1131,433,0,866
2008,1610612763,Memphis Grizzlies,Mid-Range,1674,636,0,1272
2017,1610612748,Miami Heat,Above the Break 3,1510,531,531,1593
2005,1610612764,Washington Wizards,In The Paint (Non-RA),1140,375,0,750
2007,1610612753,Orlando Magic,Backcourt,6,0,0,0
2018,1610612746,LA Clippers,Right Corner 3,213,75,75,225
2018,1610612742,Dallas Mavericks,Restricted Area,1910,1189,0,2378
2006,1610612745,Houston Rockets,Above the Break 3,1019,318,318,954
2017,1610612765,Detroit Pistons,Left Corner 3,206,81,81,243
2016,1610612741,Chicago Bulls,Right Corner 3,186,84,84,252
2020,1610612745,Houston Rockets,Above the Break 3,2410,804,804,2412
2004,1610612740,New Orleans Hornets,Right Corner 3,199,66,66,198
2014,1610612753,Orlando Magic,Restricted Area,2062,1203,0,2406
2019,1610612765,Detroit Pistons,Left Corner 3,410,157,157,471
2005,1610612760,Seattle SuperSonics,Restricted Area,1974,1144,1,2289
2023,1610612766,Charlotte Hornets,Mid-Range,788,329,0,658
2018,1610612750,Minnesota Timberwolves,Backcourt,12,0,0,0
2017,1610612766,Charlotte Hornets,Backcourt,16,1,1,3
2006,1610612738,Boston Celtics,Above the Break 3,915,324,324,972
2010,1610612752,New York Knicks,In The Paint (Non-RA),577,246,0,492
2016,1610612758,Sacramento Kings,Backcourt,15,0,0,0
2008,1610612747,Los Angeles Lakers,Left Corner 3,237,93,93,279
2017,1610612764,Washington Wizards,In The Paint (Non-RA),971,419,0,838
2017,1610612765,Detroit Pistons,Above the Break 3,1489,480,480,1440
2008,1610612757,Portland Trail Blazers,Right Corner 3,276,107,107,321
2006,1610612759,San Antonio Spurs,Mid-Range,1897,744,2,1490
2006,1610612738,Boston Celtics,Left Corner 3,152,49,49,147
2024,1610612746,LA Clippers,Restricted Area,2030,1361,0,2722
2007,1610612743,Denver Nuggets,Restricted Area,2599,1625,0,3250
2025,1610612765,Detroit Pistons,Right Corner 3,399,152,152,456
2014,1610612752,New York Knicks,Mid-Range,2147,893,0,1786
2008,1610612746,Los Angeles Clippers,Restricted Area,1748,1030,0,2060
2012,1610612743,Denver Nuggets,Restricted Area,2380,1474,0,2948
2005,1610612760,Seattle SuperSonics,Left Corner 3,243,104,104,312
2019,1610612749,Milwaukee Bucks,Left Corner 3,309,115,115,345
2012,1610612764,Washington Wizards,Above the Break 3,740,211,211,633
2012,1610612760,Oklahoma City Thunder,Right Corner 3,134,57,57,171
2010,1610612764,Washington Wizards,Above the Break 3,915,319,319,957
2006,1610612746,Los Angeles Clippers,Left Corner 3,105,39,39,117
2016,1610612756,Phoenix Suns,Backcourt,12,0,0,0
2009,1610612744,Golden State Warriors,Backcourt,18,1,1,3
2006,1610612738,Boston Celtics,Restricted Area,2304,1350,0,2700
2018,1610612749,Milwaukee Bucks,Backcourt,12,0,0,0
2020,1610612749,Milwaukee Bucks,Above the Break 3,2220,770,770,2310
2019,1610612749,Milwaukee Bucks,Above the Break 3,2489,863,863,2589
2025,1610612751,Brooklyn Nets,Mid-Range,451,188,0,376
2007,1610612758,Sacramento Kings,Above the Break 3,1192,418,418,1254
2021,1610612761,Toronto Raptors,Right Corner 3,326,127,127,381
2019,1610612753,Orlando Magic,Mid-Range,1432,575,2,1152
2024,1610612739,Cleveland Cavaliers,In The Paint (Non-RA),1316,576,0,1152
2011,1610612742,Dallas Mavericks,Backcourt,18,1,1,3
2009,1610612740,New Orleans Hornets,In The Paint (Non-RA),990,451,0,902
2006,1610612763,Memphis Grizzlies,Mid-Range,1651,619,1,1239
2022,1610612753,Orlando Magic,Backcourt,16,0,0,0
2009,1610612752,New York Knicks,Backcourt,19,0,0,0
2023,1610612738,Boston Celtics,Right Corner 3,407,168,168,504
2025,1610612748,Miami Heat,Right Corner 3,404,154,154,462
2021,1610612751,Brooklyn Nets,In The Paint (Non-RA),1075,497,0,994
2005,1610612740,New Orleans Hornets,Backcourt,9,0,0,0
2023,1610612755,Philadelphia 76ers,In The Paint (Non-RA),1338,598,0,1196
2024,1610612762,Utah Jazz,Restricted Area,1998,1373,0,2746
2013,1610612745,Houston Rockets,Backcourt,11,2,2,6
2020,1610612759,San Antonio Spurs,Restricted Area,1646,1059,0,2118
2004,1610612755,Philadelphia 76ers,Above the Break 3,658,217,217,651
2009,1610612757,Portland Trail Blazers,Restricted Area,1990,1221,0,2442
2013,1610612743,Denver Nuggets,Mid-Range,1249,438,0,876
2023,1610612742,Dallas Mavericks,In The Paint (Non-RA),1080,533,0,1066
2017,1610612764,Washington Wizards,Left Corner 3,255,86,86,258
2011,1610612750,Minnesota Timberwolves,Backcourt,27,1,1,3
2007,1610612746,Los Angeles Clippers,Right Corner 3,90,35,34,104
2009,1610612748,Miami Heat,Left Corner 3,245,93,93,279
2023,1610612753,Orlando Magic,Backcourt,9,0,0,0
2020,1610612754,Indiana Pacers,Mid-Range,1265,532,1,1065
2019,1610612747,Los Angeles Lakers,Restricted Area,2938,1899,0,3798
2005,1610612759,San Antonio Spurs,In The Paint (Non-RA),1085,428,0,856
2018,1610612766,Charlotte Hornets,Above the Break 3,1849,692,692,2076
2011,1610612758,Sacramento Kings,Backcourt,24,1,1,3
2017,1610612753,Orlando Magic,Mid-Range,1764,707,0,1414
2014,1610612747,Los Angeles Lakers,Above the Break 3,1511,566,566,1698
2010,1610612757,Portland Trail Blazers,In The Paint (Non-RA),755,318,0,636
2015,1610612747,Los Angeles Lakers,In The Paint (Non-RA),968,353,0,706
2014,1610612758,Sacramento Kings,In The Paint (Non-RA),1323,506,0,1012
2004,1610612752,New York Knicks,Above the Break 3,795,287,287,861
2004,1610612748,Miami Heat,Backcourt,19,0,0,0
2020,1610612738,Boston Celtics,In The Paint (Non-RA),1059,417,0,834
2020,1610612763,Memphis Grizzlies,Mid-Range,696,270,1,541
2019,1610612750,Minnesota Timberwolves,Right Corner 3,260,98,98,294
2004,1610612755,Philadelphia 76ers,Left Corner 3,188,70,70,210
2019,1610612751,Brooklyn Nets,Backcourt,14,1,1,3
2004,1610612741,Chicago Bulls,Mid-Range,2587,952,0,1904
2010,1610612750,Minnesota Timberwolves,Restricted Area,2201,1315,0,2630
2009,1610612737,Atlanta Hawks,Mid-Range,1898,729,0,1458
2017,1610612747,Los Angeles Lakers,Above the Break 3,1584,539,539,1617
2015,1610612765,Detroit Pistons,Backcourt,20,0,0,0
2022,1610612752,New York Knicks,Above the Break 3,2320,808,808,2424
2010,1610612741,Chicago Bulls,Backcourt,9,0,0,0
2004,1610612737,Atlanta Hawks,Left Corner 3,210,81,81,243
2006,1610612745,Houston Rockets,In The Paint (Non-RA),850,347,0,694
2012,1610612760,Oklahoma City Thunder,Mid-Range,1455,608,0,1216
2006,1610612760,Seattle SuperSonics,Above the Break 3,1252,458,457,1373
2005,1610612761,Toronto Raptors,In The Paint (Non-RA),754,309,0,618
2008,1610612744,Golden State Warriors,Right Corner 3,237,92,92,276
2022,1610612749,Milwaukee Bucks,Backcourt,11,0,0,0
2006,1610612765,Detroit Pistons,In The Paint (Non-RA),589,235,0,470
2005,1610612766,Charlotte Bobcats,Mid-Range,2986,1129,1,2259
2014,1610612760,Oklahoma City Thunder,Right Corner 3,195,70,70,210
2017,1610612764,Washington Wizards,Above the Break 3,1484,569,569,1707
