SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,zone_share,league_efg_zone,league_zone_share,efg_vs_league_zone
2014,1610612755,Philadelphia 76ers,Above the Break 3,1465,453,453,1359,0.92764505119453922,0.46382252559726961,0.20495243424734191,0.52913107057646425,0.19095558625554804,-6.5308544979194638E-2
2014,1610612755,Philadelphia 76ers,Right Corner 3,147,51,51,153,1.0408163265306123,0.52040816326530615,2.0565193060996082E-2,0.58377742946708466,3.1255205118407257E-2,-6.3369266201778518E-2
2014,1610612755,Philadelphia 76ers,In The Paint (Non-RA),1083,390,0,780,0.72022160664819945,0.36011080332409973,0.15151091214325685,0.39318905783061314,0.1491774688182789,-3.3078254506513416E-2
2014,1610612755,Philadelphia 76ers,Mid-Range,1332,501,0,1002,0.75225225225225223,0.37612612612612611,0.18634583100167879,0.39460891812865495,0.26806972164251491,-1.8482792002528836E-2
2014,1610612755,Philadelphia 76ers,Restricted Area,2888,1640,0,3280,1.1357340720221607,0.56786703601108035,0.40402909904868495,0.60832222491517207,0.32340809108099899,-4.0455188904091721E-2
2014,1610612755,Philadelphia 76ers,Left Corner 3,220,70,70,210,0.95454545454545459,0.47727272727272729,3.0777839955232231E-2,0.58688340807174888,3.4958799956889372E-2,-0.10961068079902159
2014,1610612755,Philadelphia 76ers,Backcourt,13,3,3,9,0.69230769230769229,0.34615384615384615,1.8186905428091774E-3,5.4054054054054057E-2,2.1751271273625114E-3,0.29209979209979209
2014,1610612760,Oklahoma City Thunder,In The Paint (Non-RA),939,386,0,772,0.8221512247071352,0.4110756123535676,0.13847515115764636,0.39318905783061314,0.1491774688182789,1.7886554522954456E-2
2014,1610612760,Oklahoma City Thunder,Restricted Area,2116,1342,0,2684,1.2684310018903591,0.63421550094517953,0.31204837044683675,0.60832222491517207,0.32340809108099899,2.5893276030007462E-2
2014,1610612760,Oklahoma City Thunder,Right Corner 3,195,70,70,210,1.0769230769230769,0.53846153846153844,2.8756820527945731E-2,0.58377742946708466,3.1255205118407257E-2,-4.5315891005546227E-2
2014,1610612760,Oklahoma City Thunder,Above the Break 3,1375,507,507,1521,1.1061818181818182,0.55309090909090908,0.20277245244064299,0.52913107057646425,0.19095558625554804,2.3959838514444831E-2
