SEASON_1,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,league_zone_share
2010,Backcourt,475,17,17,51,0.10736842105263159,5.3684210526315793E-2,2.3635838898122073E-3
2010,In The Paint (Non-RA),26426,11180,0,22360,0.84613638083705445,0.42306819041852722,0.13149487973089977
2011,Mid-Range,61950,24801,0,49602,0.80067796610169495,0.40033898305084747,0.3101205941099614
2011,Right Corner 3,5871,2332,2327,6991,1.1907681825924032,0.59538409129620162,2.9390121194827819E-2
2011,Backcourt,469,14,14,42,8.9552238805970144E-2,4.4776119402985072E-2,2.3478056277251315E-3
2011,In The Paint (Non-RA),30583,11923,0,23846,0.77971422031847759,0.3898571101592388,0.15309795205270299
2011,Above the Break 3,31486,10999,10999,32997,1.0479895826716636,0.52399479133583182,0.15761835393294987
2011,Restricted Area,62928,39009,0,78018,1.2397978642257819,0.61989893211289093,0.31501644465135836
2011,Left Corner 3,6474,2535,2535,7605,1.1746987951807228,0.58734939759036142,3.2408728430474418E-2
2012,Mid-Range,48783,18893,0,37786,0.77457310948486158,0.38728655474243079,0.30261468316739554
2012,Backcourt,304,10,10,30,9.8684210526315791E-2,4.9342105263157895E-2,1.8857975869234825E-3
2012,Above the Break 3,26287,8994,8994,26982,1.0264389241830563,0.51321946209152813,0.16306566173505785
2012,Left Corner 3,4998,1880,1880,5640,1.1284513805522209,0.56422569027611047,3.1004001116590678E-2
2012,Restricted Area,52099,31512,0,63024,1.2096969231655119,0.60484846158275596,0.32318476474054775
2012,In The Paint (Non-RA),23943,9119,0,18238,0.76172576535939518,0.38086288267969759,0.14852516981483205
2012,Right Corner 3,4791,1799,1798,5396,1.1262784387393028,0.56313921936965139,2.9719921838652647E-2
2013,Above the Break 3,35099,12319,12319,36957,1.0529359810820822,0.5264679905410411,0.17412032007302347
2013,Left Corner 3,7056,2726,2726,8178,1.1590136054421769,0.57950680272108845,3.5003646213147201E-2
2013,Right Corner 3,6474,2547,2543,7637,1.1796416434970651,0.58982082174853256,3.2116440700668221E-2
2013,In The Paint (Non-RA),29312,11271,0,22542,0.76903657205240172,0.38451828602620086,0.14541197247729179
2013,Backcourt,420,8,8,24,5.7142857142857141E-2,2.8571428571428571E-2,2.0835503698301908E-3
2013,Restricted Area,66135,39988,0,79976,1.2092840402207605,0.60464202011038026,0.32808477073504683
2013,Mid-Range,57083,22416,0,44832,0.7853826883660634,0.3926913441830317,0.28317929943099229
2014,Above the Break 3,38979,13750,13750,41250,1.0582621411529285,0.52913107057646425,0.19095558625554804
2014,Right Corner 3,6380,2483,2483,7449,1.1675548589341693,0.58377742946708466,3.1255205118407257E-2
2014,Backcourt,444,16,16,48,0.10810810810810811,5.4054054054054057E-2,2.1751271273625114E-3
2014,Left Corner 3,7136,2792,2792,8376,1.1737668161434978,0.58688340807174888,3.4958799956889372E-2
2014,Restricted Area,66016,40159,0,80318,1.2166444498303441,0.60832222491517207,0.32340809108099899
2014,Mid-Range,54720,21593,0,43186,0.7892178362573099,0.39460891812865495,0.26806972164251491
2014,In The Paint (Non-RA),30451,11973,0,23946,0.78637811566122628,0.39318905783061314,0.1491774688182789
