SEASON_1,TEAM_ID,TEAM_NAME,FGA,FGM,FG3M,Points,PPS,eFG
2019,1610612756,Phoenix Suns,7164,3289,790,7368,1.0284757118927974,0.5142378559463987
2018,1610612757,Portland Trail Blazers,7132,3222,845,7289,1.0220134604598989,0.51100673022994947
2012,1610612757,Portland Trail Blazers,5417,2402,478,5282,0.97507845671035631,0.48753922835517816
2022,1610612740,New Orleans Pelicans,7212,3294,873,7461,1.0345257903494176,0.5172628951747088
2025,1610612749,Milwaukee Bucks,7082,3445,1161,8051,1.1368257554363175,0.56841287771815874
2017,1610612752,New York Knicks,7254,3243,703,7189,0.99103942652329746,0.49551971326164873
2020,1610612754,Indiana Pacers,6457,3075,743,6893,1.0675236177791545,0.53376180888957725
2006,1610612742,Dallas Mavericks,6375,2948,416,6312,0.99011764705882355,0.49505882352941177
2006,1610612765,Detroit Pistons,6558,2983,557,6523,0.99466300701433363,0.49733150350716682
2025,1610612737,Atlanta Hawks,7528,3556,1107,8219,1.0917906482465463,0.54589532412327313
2015,1610612756,Phoenix Suns,7038,3178,698,7054,1.002273373117363,0.50113668655868149
2010,1610612765,Detroit Pistons,6600,2938,372,6248,0.94666666666666666,0.47333333333333333
2025,1610612757,Portland Trail Blazers,7396,3325,1057,7707,1.0420497566252027,0.52102487831260136
2004,1610612759,San Antonio Spurs,6434,2842,408,6092,0.94684488654025489,0.47342244327012745
2025,1610612740,New Orleans Pelicans,7368,3332,986,7650,1.0382736156351791,0.51913680781758953
2010,1610612740,New Orleans Hornets,6842,3178,571,6927,1.0124232680502776,0.5062116340251388
2004,1610612762,Utah Jazz,6172,2690,252,5632,0.91250810110174985,0.45625405055087492
2021,1610612763,Memphis Grizzlies,6608,3085,803,6973,1.0552360774818401,0.52761803874092006
2011,1610612763,Memphis Grizzlies,6801,3200,309,6709,0.98647257756212325,0.49323628878106163
2016,1610612752,New York Knicks,6882,3021,609,6651,0.96643417611159543,0.48321708805579772
2006,1610612766,Charlotte Bobcats,6843,2961,428,6350,0.927955575040187,0.4639777875200935
2016,1610612762,Utah Jazz,6593,2957,694,6608,1.0022751403003185,0.50113757015015925
2023,1610612743,Denver Nuggets,7088,3574,969,8117,1.1451749435665914,0.57258747178329572
2009,1610612751,New Jersey Nets,6535,2924,651,6499,0.99449120122417756,0.49724560061208878
2014,1610612762,Utah Jazz,6650,2951,543,6445,0.96917293233082702,0.48458646616541351
2022,1610612765,Detroit Pistons,7267,3129,925,7183,0.98844089720655015,0.49422044860327508
2013,1610612765,Detroit Pistons,6638,2979,513,6471,0.97484181982524853,0.48742090991262427
2018,1610612749,Milwaukee Bucks,6807,3257,718,7232,1.0624357279271339,0.53121786396356696
2013,1610612763,Memphis Grizzlies,6679,2964,382,6310,0.9447522084144333,0.47237610420721665
